year,month,access to car (1+),no access to car (0)
2011,1,9.2,1.0
2011,2,8.4,1.4
2011,3,8.7,1.2
2011,4,12.2,1.9
2011,5,12.0,3.2
2011,6,10.2,2.0
2011,7,13.3,3.8
2011,8,14.3,3.2
2011,9,9.3,2.6
2011,10,10.4,1.3
2011,11,10.0,2.9
2011,12,9.9,1.8
2012,1,12.4,1.3
2012,2,11.1,1.8
2012,3,7.6,2.6
2012,4,12.0,2.8
2012,5,12.0,1.5
2012,6,10.8,3.0
2012,7,12.6,2.1
2012,8,14.6,2.4
2012,9,10.3,3.9
2012,10,11.4,1.9
2012,11,9.1,1.6
2012,12,12.1,2.7
2013,1,9.6,1.0
2013,2,9.4,2.3
2013,3,8.9,1.6
2013,4,9.2,2.4
2013,5,10.7,2.3
2013,6,11.1,3.9
2013,7,9.1,3.0
2013,8,10.9,1.5
2013,9,10.5,1.4
2013,10,9.8,2.4
2013,11,8.0,1.9
2013,12,7.7,4.0
2014,1,10.2,1.9
2014,2,6.2,1.8
2014,3,8.7,1.6
2014,4,9.3,2.8
2014,5,7.3,2.4
2014,6,11.2,2.4
2014,7,12.1,4.0
2014,8,15.8,3.5
2014,9,8.9,3.1
2014,10,11.1,1.8
2014,11,7.0,1.4
2014,12,8.4,3.4
2015,1,7.4,2.8
2015,2,7.1,1.3
2015,3,7.3,1.4
2015,4,9.1,3.9
2015,5,7.2,2.2
2015,6,11.5,3.1
2015,7,10.0,2.9
2015,8,13.5,5.7
2015,9,11.4,3.3
2015,10,7.5,2.6
2015,11,7.3,2.2
2015,12,9.4,2.7
2016,1,10.2,1.3
2016,2,6.1,1.5
2016,3,11.4,3.0
2016,4,10.0,1.3
2016,5,9.2,2.3
2016,6,9.0,1.1
2016,7,12.1,1.8
2016,8,11.2,1.8
2016,9,11.5,2.6
2016,10,8.9,1.5
2016,11,9.3,1.6
2016,12,11.1,2.1
2017,1,8.5,2.3
2017,2,6.6,2.4
2017,3,12.0,1.8
2017,4,10.8,3.2
2017,5,12.0,1.3
2017,6,10.4,1.3
2017,7,10.8,2.0
2017,8,15.8,3.2
2017,9,8.8,2.1
2017,10,12.0,1.2
2017,11,9.3,1.4
2017,12,10.3,1.5
2018,1,8.8,1.4
2018,2,7.6,2.3
2018,3,8.8,1.6
2018,4,8.1,2.6
2018,5,9.2,1.0
2018,6,11.2,2.4
2018,7,8.8,2.1
2018,8,10.4,1.1
2018,9,11.4,2.2
2018,10,11.3,1.7
2018,11,10.2,1.2
2018,12,8.8,3.7
2019,1,8.7,1.9
2019,2,7.5,1.4
2019,3,8.4,1.4
2019,4,8.4,2.8
2019,5,8.9,1.9
2019,6,9.6,1.8
2019,7,11.1,2.4
2019,8,12.7,1.9
2019,9,8.6,1.5
2019,10,8.7,2.2
2019,11,8.1,2.0
2019,12,9.6,2.0
