year,month,male,female
2011,january,5.5,4.8
2011,february,4.9,4.9
2011,march,4.9,5.0
2011,april,6.1,8.0
2011,may,6.4,8.9
2011,june,6.2,6.0
2011,july,8.7,8.4
2011,august,6.6,10.9
2011,september,5.2,6.7
2011,october,4.7,7.0
2011,november,6.4,6.5
2011,december,5.9,5.8
2012,january,7.8,5.9
2012,february,5.7,7.2
2012,march,4.5,5.6
2012,april,6.4,8.3
2012,may,4.9,8.5
2012,june,5.8,8.0
2012,july,6.1,8.7
2012,august,8.3,8.8
2012,september,5.8,8.4
2012,october,6.3,7.0
2012,november,4.3,6.4
2012,december,6.9,7.9
2013,january,4.5,6.0
2013,february,4.8,6.8
2013,march,5.7,4.8
2013,april,5.2,6.4
2013,may,5.8,7.1
2013,june,5.8,9.1
2013,july,6.0,6.1
2013,august,6.1,6.3
2013,september,6.2,5.7
2013,october,5.5,6.7
2013,november,4.2,5.8
2013,december,6.1,5.6
2014,january,6.0,6.1
2014,february,4.0,4.0
2014,march,4.2,6.1
2014,april,6.2,6.0
2014,may,5.0,4.7
2014,june,6.7,6.9
2014,july,7.7,8.5
2014,august,10.3,8.9
2014,september,5.8,6.2
2014,october,4.7,8.1
2014,november,3.4,4.9
2014,december,5.5,6.3
2015,january,6.0,4.2
2015,february,3.9,4.6
2015,march,4.1,4.6
2015,april,7.0,6.0
2015,may,5.7,3.8
2015,june,7.6,7.0
2015,july,6.4,6.5
2015,august,10.4,8.8
2015,september,6.5,8.2
2015,october,4.7,5.3
2015,november,4.7,4.8
2015,december,4.7,7.4
2016,january,6.7,4.8
2016,february,3.1,4.5
2016,march,5.9,8.5
2016,april,5.9,5.4
2016,may,4.5,7.0
2016,june,3.9,6.2
2016,july,6.3,7.6
2016,august,4.7,8.3
2016,september,6.9,7.2
2016,october,4.8,5.7
2016,november,4.4,6.5
2016,december,5.5,7.7
2017,january,4.5,6.2
2017,february,3.8,5.2
2017,march,7.2,6.6
2017,april,6.0,8.0
2017,may,6.4,6.9
2017,june,5.0,6.7
2017,july,6.0,6.8
2017,august,10.8,8.3
2017,september,5.0,6.0
2017,october,7.1,6.2
2017,november,6.0,4.7
2017,december,5.2,6.6
2018,january,6.0,4.2
2018,february,4.7,5.2
2018,march,4.8,5.6
2018,april,5.4,5.2
2018,may,4.6,5.5
2018,june,6.4,7.2
2018,july,5.4,5.5
2018,august,4.7,6.7
2018,september,5.3,8.4
2018,october,7.7,5.2
2018,november,5.9,5.5
2018,december,6.9,5.6
2019,january,4.4,6.2
2019,february,3.3,5.6
2019,march,5.5,4.3
2019,april,5.4,5.8
2019,may,5.4,5.4
2019,june,6.4,5.0
2019,july,5.7,7.9
2019,august,5.9,8.7
2019,september,5.2,4.9
2019,october,5.1,5.8
2019,november,5.0,5.0
2019,december,4.7,6.8
