year,month,ab,c1,c2,de
2011,1,3.5,2.3,2.8,1.6
2011,2,4.2,2.3,1.3,2.0
2011,3,2.7,3.6,2.1,1.5
2011,4,5.7,4.2,3.1,1.1
2011,5,5.4,5.4,2.9,1.6
2011,6,4.1,3.4,1.8,2.9
2011,7,5.9,7.0,2.7,1.6
2011,8,5.6,5.2,4.1,2.6
2011,9,2.9,3.6,2.7,2.7
2011,10,3.4,4.5,3.1,0.7
2011,11,4.0,5.4,1.8,1.7
2011,12,4.4,4.3,1.4,1.5
2012,1,4.4,5.2,2.3,1.8
2012,2,3.8,5.7,1.8,1.5
2012,3,2.7,4.7,1.6,1.2
2012,4,6.1,4.8,1.5,2.3
2012,5,6.0,4.1,1.6,1.7
2012,6,4.9,4.1,3.3,1.5
2012,7,4.0,5.5,3.3,2.0
2012,8,4.9,6.2,3.7,2.3
2012,9,2.8,5.4,3.6,2.3
2012,10,4.4,3.9,2.8,2.2
2012,11,3.1,3.7,2.0,1.8
2012,12,4.1,4.6,4.1,2.0
2013,1,4.0,2.2,2.8,1.6
2013,2,2.6,3.8,2.0,3.2
2013,3,3.6,3.6,1.5,1.7
2013,4,4.1,3.7,2.1,1.7
2013,5,5.7,2.3,3.2,1.7
2013,6,3.2,5.5,3.2,3.2
2013,7,3.0,4.7,2.4,1.9
2013,8,4.2,4.8,1.6,1.7
2013,9,5.1,3.4,1.9,1.6
2013,10,2.8,4.6,2.1,2.8
2013,11,2.7,3.3,1.9,2.0
2013,12,3.7,4.0,2.1,2.0
2014,1,5.0,2.4,2.7,2.0
2014,2,2.4,1.8,1.3,2.6
2014,3,3.2,4.3,1.5,1.4
2014,4,4.4,4.0,1.7,2.1
2014,5,4.9,2.7,0.8,1.4
2014,6,4.8,4.6,1.8,2.4
2014,7,4.7,4.9,1.8,4.7
2014,8,8.1,8.6,1.2,1.3
2014,9,3.4,4.6,2.4,1.6
2014,10,5.8,3.0,3.1,1.0
2014,11,3.2,2.4,1.2,1.6
2014,12,3.7,3.5,1.5,3.0
2015,1,3.0,5.1,1.2,1.0
2015,2,3.7,2.6,0.8,1.3
2015,3,2.2,3.2,1.6,1.7
2015,4,4.7,5.0,0.9,2.4
2015,5,2.3,3.9,0.8,2.4
2015,6,5.3,4.9,2.3,2.1
2015,7,3.3,5.8,2.3,1.5
2015,8,6.5,6.6,2.7,3.3
2015,9,7.6,4.2,1.5,1.5
2015,10,3.0,3.9,1.8,1.3
2015,11,2.9,2.8,1.6,2.2
2015,12,5.8,4.4,1.1,0.8
2016,1,4.9,1.9,2.0,2.7
2016,2,3.4,1.8,1.0,1.4
2016,3,5.6,4.6,2.0,2.3
2016,4,3.3,5.5,1.2,1.3
2016,5,4.0,2.4,2.6,2.5
2016,6,4.2,2.4,2.1,1.4
2016,7,5.3,4.3,1.8,2.5
2016,8,4.4,3.9,2.7,2.0
2016,9,3.6,3.8,3.7,3.0
2016,10,3.1,4.1,1.3,1.9
2016,11,3.7,2.8,2.2,2.2
2016,12,4.5,4.4,2.3,2.0
2017,1,4.3,3.6,1.4,1.5
2017,2,3.2,2.7,1.5,1.7
2017,3,4.0,4.9,3.0,2.0
2017,4,4.7,3.6,1.9,3.8
2017,5,4.7,2.5,3.3,2.8
2017,6,4.3,3.3,2.8,1.3
2017,7,3.3,4.3,2.8,2.5
2017,8,7.9,5.0,3.2,3.0
2017,9,3.5,2.6,2.0,2.9
2017,10,3.0,3.1,3.1,4.1
2017,11,3.0,3.3,2.3,2.1
2017,12,3.9,3.3,3.5,1.0
2018,1,2.9,4.4,1.6,1.4
2018,2,1.9,2.6,2.4,3.0
2018,3,3.8,2.8,2.0,1.8
2018,4,3.3,3.5,2.6,1.3
2018,5,3.7,2.3,2.9,1.2
2018,6,4.1,4.5,3.0,2.0
2018,7,3.4,3.3,2.7,1.6
2018,8,3.3,4.6,1.8,1.8
2018,9,4.2,2.9,3.4,3.2
2018,10,5.2,3.1,2.9,1.8
2018,11,4.2,3.3,1.9,2.1
2018,12,4.9,2.6,2.4,2.6
2019,1,2.9,2.9,2.8,2.0
2019,2,2.1,2.6,2.2,2.0
2019,3,3.0,3.2,1.1,2.5
2019,4,3.9,3.0,2.1,2.2
2019,5,3.3,3.0,2.2,2.3
2019,6,2.6,4.0,3.0,1.8
2019,7,3.9,2.7,2.3,4.6
2019,8,3.8,3.3,1.8,5.7
2019,9,3.5,2.4,2.0,2.3
2019,10,1.2,3.3,2.8,3.7
2019,11,2.9,2.9,1.4,2.9
2019,12,2.9,2.7,3.4,2.6
