Month,TOTAL,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,Yes,No,A,B,C1,C2,D,E
Weighted Base,12701,6644,6057,1472,2041,3388,2396,1881,1524,4354,8347,809,3375,4299,2280,1317,621
Jan 2007,622,349,273,135,90,142,128,90,37,189,433,30,94,269,133,84,12
Feb 2007,702,336,366,60,128,217,138,92,68,246,456,72,180,311,101,27,12
Mar 2007,1005,585,420,82,179,262,227,154,101,466,539,90,218,353,202,82,60
Apr 2007,1165,634,531,101,164,324,234,186,156,477,688,85,327,361,192,122,78
May 2007,1241,651,590,107,182,359,225,224,144,365,875,51,344,392,200,159,95
Jun 2007,1089,528,561,186,211,214,165,137,177,274,815,103,262,293,195,158,78
Jul 2007,1218,545,673,85,233,325,240,199,137,466,752,100,342,379,256,94,46
Aug 2007,1356,753,603,201,238,366,233,209,110,580,775,47,367,351,337,197,57
Sep 2007,1101,570,530,128,130,283,213,192,154,309,792,84,314,336,141,169,57
Oct 2007,1102,573,529,95,167,301,243,167,129,451,650,95,304,291,235,130,47
Nov 2007,1011,629,382,163,150,236,234,88,139,246,765,26,319,473,100,60,33
Dec 2007,1088,491,598,129,169,359,114,144,173,282,806,26,305,490,187,35,46
