year,place,employed/self-employed (full or part time),in full or part time education,unemployed/not working
2011,city/large town,43.3,9.1,14.2
2011,small town,28.1,3.7,12.2
2011,village,12.4,2.0,4.0
2011,rural countryside,15.3,2.1,7.0
2011,seaside resort or town,6.2,1.1,2.8
2011,seaside coastline - a beach,4.9,0.6,1.6
2011,other seaside coastline,1.1,0.4,0.7
2011,other,1.5,0.5,1.5
2012,city/large town,53.2,6.3,17.5
2012,small town,30.1,2.0,12.4
2012,village,13.4,1.4,4.4
2012,rural countryside,15.1,2.0,8.1
2012,seaside resort or town,7.4,0.7,1.0
2012,seaside coastline - a beach,5.0,0.6,0.9
2012,other seaside coastline,0.7,0.1,1.4
2012,other,1.0,0.4,2.1
2013,city/large town,39.3,8.5,23.2
2013,small town,20.2,3.1,14.7
2013,village,10.0,1.2,5.9
2013,rural countryside,11.9,1.7,7.3
2013,seaside resort or town,4.0,1.2,3.9
2013,seaside coastline - a beach,3.2,0.6,1.5
2013,other seaside coastline,1.0,0.4,1.7
2013,other,1.0,0.2,1.2
2014,city/large town,40.8,6.0,6.3
2014,small town,21.9,3.0,3.2
2014,village,9.0,0.4,1.0
2014,rural countryside,9.8,3.1,1.9
2014,seaside resort or town,4.7,1.1,0.4
2014,seaside coastline - a beach,2.3,1.0,0.6
2014,other seaside coastline,2.1,0.0,0.2
2015,city/large town,40.8,8.6,6.9
2015,small town,17.9,4.9,5.5
2015,village,6.4,0.6,1.6
2015,rural countryside,9.9,2.1,2.0
2015,seaside resort or town,3.7,0.7,1.1
2015,seaside coastline - a beach,2.5,0.1,1.1
2015,other seaside coastline,0.8,0.1,0.2
2016,city/large town,33.8,8.7,4.8
2016,small town,21.2,4.9,4.0
2016,village,9.9,1.1,1.2
2016,rural countryside,11.6,2.4,1.4
2016,seaside resort or town,4.0,0.3,0.2
2016,seaside coastline - a beach,2.3,0.5,0.1
2016,other seaside coastline,1.0,0.3,0.1
2017,city/large town,43.2,7.1,8.4
2017,small town,24.6,3.9,4.4
2017,village,11.0,2.9,1.7
2017,rural countryside,11.6,1.6,1.7
2017,seaside resort or town,4.3,0.9,0.7
2017,seaside coastline - a beach,5.3,1.5,0.2
2017,other seaside coastline,0.9,0.4,0.3
2018,city/large town,36.5,6.1,7.4
2018,small town,20.3,6.1,4.3
2018,village,8.9,0.8,2.1
2018,rural countryside,9.7,1.9,1.9
2018,seaside resort or town,3.8,0.8,0.5
2018,seaside coastline - a beach,2.5,0.5,0.8
2018,other seaside coastline,0.5,0.3,0.4
2019,city/large town,35.4,6.1,6.8
2019,small town,20.0,3.0,5.4
2019,village,8.0,2.3,2.2
2019,rural countryside,9.5,2.0,1.5
2019,seaside resort or town,3.6,0.8,1.3
2019,seaside coastline - a beach,3.6,0.8,1.3
2019,other seaside coastline,0.7,0.0,0.2
