"transport","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","married","not married","yes","no","access to car (1+)","no access to car (0)","ab","c1","c2","de","employed/self-employed (full or part time)","in full or part time education","unemployed/not working",
"car - own/friends/family","91.9","38.1","53.8","12.6","13.1","16.7","12.0","18.6","18.9","58.9","33.0","19.7","72.2","85.6","6.3","35.0","26.4","14.8","15.8","50.2","10.1","7.1",
"car - hired","2.5","1.2","1.3","0.6","1.0","0.5","0.2","0.1","0.2","1.6","0.9","1.5","1.1","2.2","0.4","0.7","0.5","0.7","0.7","1.7","0.6","0.2",
"public transport","27.9","13.4","14.5","5.3","5.9","4.4","2.5","4.7","5.1","14.1","13.8","8.0","20.0","16.9","11.0","7.4","10.0","4.8","5.8","14.7","3.0","2.7",
"train","14.1","7.4","6.7","3.1","3.7","2.6","1.5","1.8","1.3","7.1","6.9","4.9","9.1","9.3","4.8","4.0","5.4","2.5","2.2","8.3","1.5","1.9",
"a regular bus\coach","13.8","6.1","7.8","2.2","2.1","1.9","1.0","2.9","3.8","7.0","6.9","3.0","10.8","7.6","6.2","3.4","4.6","2.3","3.6","6.4","1.5","0.8",
"organised coach tour","1.6","1.0","0.5","0.6","-","0.1","0.2","0.1","0.5","0.7","0.9","0.5","1.0","1.2","0.3","0.5","0.2","0.4","0.4","0.4","0.6","-",
"taxi","4.9","3.5","1.4","1.5","0.7","0.9","1.0","0.3","0.5","3.3","1.6","1.9","3.1","4.4","0.5","1.5","0.7","2.2","0.6","3.9","0.5","-",
"walked\on foot","7.9","3.4","4.5","1.4","1.7","1.7","0.8","1.1","1.3","3.6","4.3","1.4","6.5","5.7","2.2","2.9","2.4","1.5","1.1","4.6","1.1","0.4",
"bicycle","0.9","0.2","0.6","-","0.3","0.2","-","0.3","0.1","0.7","0.2","0.3","0.5","0.8","0.1","0.7","-","-","0.1","0.5","-","0.1",
"tube","0.5","0.1","0.4","0.3","-","-","0.1","-","0.1","0.3","0.2","0.1","0.4","0.2","0.3","0.2","0.2","0.1","-","0.3","0.1","-",
"tram","0.2","-","0.2","-","-","0.1","-","-","-","0.1","0.1","0.1","0.1","0.2","-","0.1","-","0.1","-","0.2","-","-",
"motorised caravan\campervan","0.5","-","0.5","0.1","-","0.1","0.1","0.1","0.1","0.4","0.1","-","0.5","0.4","0.1","0.2","0.2","0.1","0.1","0.2","0.1","-",
"plane","0.7","0.2","0.5","0.1","0.2","0.1","-","-","0.2","0.4","0.3","0.1","0.6","0.5","0.2","-","0.3","0.2","0.1","0.4","0.1","-",
"boat\ship\ferry","0.1","-","0.1","0.1","-","-","-","-","-","-","0.1","-","0.1","-","0.1","-","0.1","-","-","-","0.1","-",
"lorry\truck\van","0.3","0.1","0.2","0.1","-","-","0.1","0.1","-","0.2","0.1","-","0.3","0.2","0.1","0.1","-","-","0.2","0.1","-","0.1",
"other","2.1","1.1","1.0","1.0","0.1","-","0.3","0.2","0.5","0.7","1.4","0.2","1.9","1.7","0.4","0.9","1.0","-","0.2","1.0","0.6","0.1",
